"Timestamp","How many years of software development experience (writing code) do you have?","What is your experience with security vulnerabilities?","Have you ever attended a training on secure software development? ","If yes, which topics/areas did you cover? ","Do you use SAST tools in your everyday workflow? ","If yes, which tools?","How often do you use these tools?","Do you use the SAST tools or integrated SAST features within your IDE?","If yes, which tools or features?","Do you configure the tools? ","List the top 3 configuration options that you like. ","List the top 3 configuration options that you dislike. ","Have you used any Domain Specific Languages (DSL) to adapt the existing rules in a tool you used? ","If yes, for which tool(s)? ","How would you describe the experience? ","How confident are you when you adapt the existing rules? ","Have you written new rules in the DSL? ","If yes, for which rules or what kind of rules? ","How confident you are when you write new rules?","Are there any processes, polices, and/or regulations for using SAST in your company? ","If yes, what processes, policies and/or regulations are in place?","Are you allowed to configure the rules of the SAST tools used in your company? ","Who is allowed to configure the rules of the SAST tools? ","For each statement, please rate how relevant it is on a scale from 1 to 5.  [The issues reported by the tool should be available immediately (fast analysis).]","For each statement, please rate how relevant it is on a scale from 1 to 5.  [The issues reported by the tool should be easy to understand.]","For each statement, please rate how relevant it is on a scale from 1 to 5.  [The issues reported by the tool should be relevant for me (the context I am currently focused on).]","For each statement, please rate how relevant it is on a scale from 1 to 5.  [The issues reported by the tool should be grouped according to my preferences. ]","For each statement, please rate how relevant it is on a scale from 1 to 5.  [The tool should have continuous reporting. (reports individual issues as soon as they are found)]","When should the analysis run? ","On what level would you prefer the entry points selection option to be? ","Is configuring the analysis in the browser ideal? ","Where should the notifications from the tool be shown?","F1-F5 Options [F1]","F1-F5 Options [F2]","F1-F5 Options [F3]","F1-F5 Options [F4]","F1-F5 Options [F5]","F6-F10 Options [F6]","F6-F10 Options [F7]","F6-F10 Options [F8]","F6-F10 Options [F9]","F6-F10 Options [F10]","F11-F15 [F11]","F11-F15 [F12]","F11-F15 [F13]","F11-F15 [F14]","F11-F15 [F15]","F16-F18 Options [F16]","F16-F18 Options [F17]","F16-F18 Options [F18]","C1-C5 Options [C1]","C1-C5 Options [C2]","C1-C5 Options [C3]","C1-C5 Options [C4]","C1-C5 Options [C5]","C6-C11 Options [C6]","C6-C11 Options [C7]","C6-C11 Options [C8]","C6-C11 Options [C9]","C6-C11 Options [C10]","C6-C11 Options [C11]"
"2020/11/30 12:08:39 PM GMT+1","6 – 9","I am beginner","No","","Yes","Lint","When a new functionallity is implemented;CI","Yes","Lint","Yes","Checkstyle","","Yes","KTLint","Good and easy to use. You apply your config directly in an editor file (Intellij).","3","No","","1","Yes","Quality Gate regulations on Sonarqube","Yes","Lead Developer / Architects","5 - highly relevant","4","4","3","5 - highly relevant","Automatically, on file save.;Automatically, on file change.","Why not everything","No","IDE","Understandable;Useful","Understandable;Useful","Understandable;Useful","Useful","Understandable","Understandable","Understandable","Understandable","Understandable;Useful","","Understandable","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","","","","Understandable;Useful","Understandable;Useful","","","Understandable;Useful","Understandable;Useful","Understandable;Useful","","Understandable","",""
"2020/12/01 2:29:57 PM GMT+1","10+","I am beginner","No","","Yes","CogniCrypt","On milestones (e.g. new release)","Yes","CogniCrypt","No","","","No","","I have only tested the tool. ","1","No","","1","No","","Yes","At the moment every developer in our team","4","5 - highly relevant","5 - highly relevant","3","4","Automatically, on project build.;Automatically, on commit to “main” branch.","Method level","No","IDE","","","","Useful","","","","","","","","","","","","","","","Useful","Useful","Useful","Understandable","Useful","Useful","Understandable","Useful","Useful","Useful","Understandable"
"2020/12/02 12:00:01 PM GMT+1","6 – 9","I am beginner","No","","No","","Randomly","Yes","CogniCrypt","No","","","No","","","1","No","","1","No","","Yes","Everybody","2","5 - highly relevant","3","2","4","Automatically, on file change.;Automatically, on project build.;Manually","Method level","Yes","IDE","Understandable;Useful","Understandable;Useful","Understandable;Useful","","Understandable;Useful","","Understandable;Useful","Understandable;Useful","Understandable;Useful","","Understandable","Understandable;Useful","","","Understandable","","Understandable","Understandable","Understandable;Useful","Understandable","Understandable","","Understandable","Understandable;Useful","Understandable","Understandable","Understandable","Understandable","Understandable"
"2020/12/02 3:21:10 PM GMT+1","3 – 5","I am knowledgeable in the topic","Yes","Secure Software Engineering, Cryptography, Static Code Analysis","Yes","CogniCrypt","When a new functionallity is implemented;Comparison of static analysis tools","Yes","CogniCrypt_SAST and CogniCrypt_Gen","No","Introducing rules","","Yes","CogniCrypt - CrySL (DSL)","Straight forward","4","Yes","Rule for proper use of cryptographic API, e.g. Cipher","4","No","","No","","5 - highly relevant","5 - highly relevant","4","5 - highly relevant","4","Manually","Package level","No","IDE","Understandable","","Understandable","Understandable;Useful","Understandable;Useful","","Understandable;Useful","Understandable;Useful","Understandable;Useful","Useful","Understandable;Useful","Understandable;Useful","","","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Useful","Understandable;Useful","Understandable;Useful","Useful"
"2020/12/03 10:10:04 AM GMT+1","3 – 5","I am beginner","No","","No","","I never used a SAST Tool before","No","I never used a SAST Tool before","No","I never used a SAST Tool before","I never used a SAST Tool before","No","I never used a DSL Tool before","I never used a DSL Tool before","3","No","I never used a DSL Tool before","3","No","We don't have a policy but theoretically we are allowed to use it ","Yes","The Devlopers","4","4","2","3","4","Automatically, on file save.;Automatically, on project build.;Manually","Class level","Yes","IDE","Understandable;Useful","Useful","Understandable","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable","Useful","Useful","Understandable","Understandable;Useful","","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable","Understandable","Understandable;Useful","Understandable;Useful","Understandable","Understandable;Useful","Understandable;Useful","Understandable","Understandable;Useful"
"2020/12/03 12:13:06 PM GMT+1","6 – 9","I am beginner","No","","No","","When a new functionallity is implemented","Yes","CogniCrypt","No","","","No","","","","No","","","No","","Yes","","5 - highly relevant","5 - highly relevant","3","3","4","Automatically, on file save.;Automatically, on commit to “main” branch.;Manually","Method level","No","IDE","Understandable","Useful","Understandable","Useful","Useful","Understandable","Understandable","Understandable","Understandable","Understandable","Understandable","Useful","Understandable","Understandable","Useful","Understandable","Understandable","Understandable","Understandable;Useful","Understandable","","Understandable","Understandable;Useful","Understandable;Useful","Understandable","Understandable","Understandable","","Understandable"
"2020/12/03 4:41:03 PM GMT+1","6 – 9","I am knowledgeable in the topic","No","Java Crypto API misuses (JCA)","Yes","CogniCrypt","at least one time ","Yes","detection of crypto API misuses","No","","","Yes","CogniCrypt (CrySL rules)","good","5","Yes","I wrote rules for EC encryption","4","No","","","","5 - highly relevant","5 - highly relevant","4","4","5 - highly relevant","Automatically, on file save.;Automatically, on project build.;Automatically, on commit to “main” branch.","Method level","","Configuration Page","Understandable;Useful","","Understandable;Useful","Understandable;Useful","Understandable","Understandable","Understandable","Understandable","Understandable;Useful","","Understandable;Useful","Understandable","","","Understandable;Useful","Understandable;Useful","Understandable","Understandable","Understandable;Useful","Understandable;Useful","Understandable;Useful","","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","",""
"2020/12/03 6:06:42 PM GMT+1","6 – 9","No experience at all","No","","No","","","No","","No","","","No","","","1","No","","1","","","No","","3","4","4","4","3","Automatically, on commit to “main” branch.","Class level","No","IDE","","Understandable","Understandable;Useful","Understandable;Useful","Understandable","Understandable;Useful","Understandable;Useful","Understandable","Understandable","","Understandable;Useful","Understandable","Understandable","","Understandable;Useful","Understandable","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable","","Understandable","Understandable;Useful","Understandable;Useful","","Understandable;Useful","Understandable","Understandable","Understandable;Useful"
"2020/12/04 10:02:25 AM GMT+1","3 – 5","I am beginner","No","","No","","On milestones (e.g. new release)","Yes","CogiCrypt","No","","","No","","","1","No","","1","No","","No","","5 - highly relevant","5 - highly relevant","4","3","3","Manually","Class level","Yes","IDE","Understandable;Useful","Understandable;Useful","Understandable","Understandable;Useful","Understandable","","Understandable;Useful","Understandable","Understandable;Useful","","Understandable;Useful","Understandable;Useful","","","","Understandable","Understandable","Understandable;Useful","Understandable","Understandable;Useful","","Understandable","Understandable","Understandable","Understandable","","Understandable","Understandable",""
"2020/12/04 2:01:37 PM GMT+1","6 – 9","I am beginner","No","","No","","","No","","No","","","No","","","1","No","","1","Yes","Cognicript used for developing new features that could potentially involve security vulnerabilities","No","product management, senior software engineers","5 - highly relevant","5 - highly relevant","4","4","4","Automatically, on file save.;Automatically, on commit to “main” branch.;Manually","Method level","No","IDE","Understandable;Useful","Understandable;Useful","Understandable","Understandable","Understandable;Useful","Useful","Understandable;Useful","Understandable","Understandable;Useful","Useful","Understandable;Useful","Understandable;Useful","","","Understandable;Useful","","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","","Understandable","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable;Useful","Understandable","Understandable;Useful","Understandable;Useful"
